Minutes Played,Goals,Assists,Passes,Key Passes,Big Chances Created,Shots,Shots on Target,Yellow Card,Red Card,Match Rating
90,0,0,64,0,0,0,0,0,0,7.8
90,0,0,64,0,0,0,0,0,0,7.4
90,0,0,64,2,0,0,0,0,0,7.4
90,0,1,64,1,0,0,0,0,0,7.3
90,0,1,64,4,0,1,0,0,0,7.3
90,0,0,64,0,0,2,0,0,0,7.3
90,0,0,64,3,0,1,1,0,0,7.2
90,0,0,64,1,0,0,0,0,0,7.2
90,0,0,64,0,0,3,2,0,0,7.1
90,0,0,64,0,0,1,0,0,0,7
90,0,0,64,1,0,1,0,0,0,6.9
90,0,0,64,0,0,1,0,0,0,6.9
90,0,0,64,0,0,1,1,0,0,6.9
90,0,0,64,1,0,0,0,0,0,6.6
90,0,0,64,1,0,0,0,0,0,6.4
90,0,0,64,0,0,0,0,0,0,5.8
90,0,0,64,1,0,0,0,0,0,7.2
90,0,0,63,0,0,0,0,1,0,7.2
90,0,0,63,0,0,0,0,1,0,7
90,1,0,63,1,1,1,1,0,0,7.9
90,1,0,63,0,0,2,1,0,0,7.5
90,0,0,63,0,0,0,0,0,0,7.3
90,0,0,63,0,0,0,0,0,0,7.3
90,0,0,63,1,0,1,0,0,0,7.2
90,0,0,63,0,0,0,0,0,0,7.2
90,0,1,63,1,0,0,0,0,0,7.1
90,0,0,63,0,0,0,0,0,0,7
90,0,0,63,0,0,0,0,0,0,6.6
90,0,0,63,1,0,1,0,0,0,6.4
90,0,0,62,2,0,1,0,1,0,7.3
90,0,0,62,0,0,4,1,1,0,7.1
90,2,0,62,3,1,4,2,0,0,9.2
90,0,1,62,3,1,1,0,0,0,8.7
90,1,0,62,1,0,4,1,0,0,8
90,0,1,62,1,1,2,0,0,0,7.8
90,1,0,62,0,0,3,1,0,0,7.7
90,0,0,62,2,0,3,0,0,0,7.6
90,0,0,62,0,0,0,0,0,0,7.3
90,0,0,62,0,0,0,0,0,0,7.3
90,0,0,62,1,0,0,0,0,0,7.2
90,0,0,62,0,0,0,0,0,0,7.1
90,0,0,62,0,0,0,0,0,0,7.1
90,0,0,62,1,0,0,0,0,0,7.1
90,0,0,62,3,0,0,0,0,0,6.9
90,0,0,62,1,0,1,0,0,0,6.8
90,0,0,62,0,0,0,0,0,0,6.7
90,0,0,62,1,0,1,0,0,0,6.6
90,0,0,62,0,0,1,0,0,0,5.9
90,0,0,61,0,0,0,0,1,0,7.3
90,0,0,61,0,0,1,1,1,0,6.8
90,0,0,61,0,0,1,0,1,0,6
90,1,1,61,4,1,2,1,0,0,9.3
90,0,2,61,5,3,1,0,0,0,7.8
90,0,0,61,1,1,1,0,0,0,7.5
90,0,0,61,1,0,3,1,0,0,7.4
90,0,0,61,1,0,3,1,0,0,7.4
90,0,0,61,0,0,1,0,0,0,7.3
90,0,0,61,0,0,1,0,0,0,7.2
90,0,0,61,1,0,0,0,0,0,7.1
90,0,0,61,0,0,0,0,0,0,7.1
90,0,0,61,0,0,1,0,0,0,7
90,0,0,61,0,0,0,0,0,0,7
90,0,0,61,0,0,2,0,0,0,7
90,0,0,61,0,0,0,0,0,0,6.8
90,0,0,61,0,0,0,0,0,0,6.8
90,0,0,61,0,0,0,0,0,0,6.7
90,0,1,61,1,0,0,0,0,0,6.6
90,0,0,60,0,0,0,0,1,0,7.3
90,0,0,60,0,0,1,1,1,0,7.1
90,0,0,60,0,0,0,0,1,0,7.1
90,0,0,60,1,0,0,0,0,0,8
90,0,0,60,0,0,1,0,0,0,7.6
90,0,0,60,3,0,2,2,0,0,7.6
90,1,0,60,0,0,3,1,0,0,7.5
90,0,0,60,0,0,0,0,0,0,7.4
90,0,0,60,0,0,0,0,0,0,7.4
90,0,0,60,0,0,1,0,0,0,7.4
90,0,0,60,1,0,2,0,0,0,7.4
90,0,1,60,1,0,1,1,0,0,7.3
90,0,0,60,0,0,1,0,0,0,7.2
90,0,0,60,2,0,0,0,0,0,7.2
90,0,0,60,0,0,1,0,0,0,7
90,0,0,60,0,0,0,0,0,0,7
90,0,0,60,0,0,1,1,0,0,6.6
90,0,0,60,0,0,0,0,0,0,6.6
90,0,0,60,0,0,1,0,0,0,6.6
90,0,0,60,0,0,1,0,0,0,6.6
90,0,0,60,1,1,3,0,0,0,8.5
90,1,0,59,0,0,1,1,1,0,7.9
90,0,0,59,1,1,2,0,1,0,7.1
90,0,0,59,1,0,0,0,1,0,6.9
90,0,0,59,1,0,0,0,1,0,6.8
90,0,0,59,0,0,0,0,1,0,6.8
90,0,0,59,0,0,0,0,1,0,6.7
90,2,1,59,6,0,3,3,0,0,9.7
90,0,0,59,5,1,6,2,0,0,8.5
90,0,2,59,2,2,0,0,0,0,8.3
90,1,0,59,1,0,3,2,0,0,8.1
90,1,0,59,1,0,1,1,0,0,7.9
90,0,0,59,1,0,1,0,0,0,7.5
90,0,0,59,1,0,0,0,0,0,7.4
90,0,0,59,2,1,2,0,0,0,7.4
90,0,0,59,0,0,1,1,0,0,7.3
90,0,0,59,0,0,0,0,0,0,7.3
90,0,0,59,3,0,3,0,0,0,7.2
90,0,0,59,0,0,2,0,0,0,7.2
90,0,0,59,0,0,2,0,0,0,7.2
90,0,0,59,0,0,0,0,0,0,7.1
90,0,0,59,0,0,3,1,0,0,7
90,0,0,59,0,0,0,0,0,0,7
90,0,0,59,0,0,0,0,0,0,7
90,0,0,59,2,0,3,0,0,0,7
90,0,0,59,0,0,0,0,0,0,7
90,0,0,59,0,0,0,0,0,0,6.9
90,0,0,59,1,0,1,0,0,0,6.7
90,0,0,59,1,0,3,0,0,0,6.6
90,0,0,59,1,0,0,0,0,0,6.5
90,2,1,58,1,0,2,2,0,0,9.6
90,0,0,58,2,0,7,3,0,0,8.8
90,0,0,58,2,1,2,1,0,0,8.3
90,0,1,58,3,2,2,2,0,0,8
90,1,0,58,2,2,3,1,0,0,7.9
90,0,0,58,1,0,3,1,0,0,7.9
90,0,1,58,1,1,1,0,0,0,7.7
90,0,0,58,0,0,0,0,0,0,7.7
90,0,0,58,1,1,0,0,0,0,7.6
90,0,0,58,1,1,2,1,0,0,7.5
90,0,0,58,0,0,1,0,0,0,7.4
90,0,0,58,1,0,0,0,0,0,7.4
90,0,0,58,1,0,1,0,0,0,7.3
90,0,0,58,0,0,2,1,0,0,7.3
90,0,0,58,0,0,1,0,0,0,7.2
